estado,municipio,bioma,ano,mês,dia,estacao
BAHIA,SERRA PRETA,Mata Atlântica,2024,1,1,Verão
BAHIA,ANGUERA,Mata Atlântica,2024,1,1,Verão
BAHIA,TANQUINHO,Caatinga,2024,1,1,Verão
BAHIA,RAFAEL JAMBEIRO,Caatinga,2024,1,1,Verão
BAHIA,CANSANÇÃO,Caatinga,2024,1,1,Verão
BAHIA,SANTO ESTÊVÃO,Caatinga,2024,1,1,Verão
ALAGOAS,PENEDO,Mata Atlântica,2024,1,1,Verão
BAHIA,SERRINHA,Caatinga,2024,1,1,Verão
PERNAMBUCO,BARREIROS,Mata Atlântica,2024,1,1,Verão
ALAGOAS,JACUÍPE,Mata Atlântica,2024,1,1,Verão
BAHIA,PAULO AFONSO,Caatinga,2024,1,1,Verão
ALAGOAS,BATALHA,Caatinga,2024,1,1,Verão
BAHIA,ARACI,Caatinga,2024,1,1,Verão
ALAGOAS,OLHO D'ÁGUA DO CASADO,Caatinga,2024,1,1,Verão
MATO GROSSO DO SUL,PONTA PORÃ,Cerrado,2024,1,1,Verão
PARANÁ,DOUTOR ULYSSES,Mata Atlântica,2024,1,1,Verão
PARANÁ,MIRASELVA,Mata Atlântica,2024,1,1,Verão
PARANÁ,CASTRO,Mata Atlântica,2024,1,1,Verão
PARANÁ,IMBITUVA,Mata Atlântica,2024,1,1,Verão
SÃO PAULO,AVARÉ,Cerrado,2024,1,1,Verão
BAHIA,JAGUAQUARA,Mata Atlântica,2024,1,1,Verão
BAHIA,MUCURI,Mata Atlântica,2024,1,1,Verão
DISTRITO FEDERAL,BRASÍLIA,Cerrado,2024,1,1,Verão
GOIÁS,SIMOLÂNDIA,Cerrado,2024,1,1,Verão
BAHIA,JEQUIÉ,Mata Atlântica,2024,1,1,Verão
BAHIA,MANOEL VITORINO,Caatinga,2024,1,1,Verão
BAHIA,MARCIONÍLIO SOUZA,Caatinga,2024,1,1,Verão
SERGIPE,MARUIM,Mata Atlântica,2024,1,1,Verão
SERGIPE,NOSSA SENHORA DO SOCORRO,Mata Atlântica,2024,1,1,Verão
SERGIPE,SÃO CRISTÓVÃO,Mata Atlântica,2024,1,1,Verão
BAHIA,ARAMARI,Mata Atlântica,2024,1,1,Verão
ALAGOAS,PIAÇABUÇU,Mata Atlântica,2024,1,1,Verão
PERNAMBUCO,ESCADA,Mata Atlântica,2024,1,1,Verão
BAHIA,ITABERABA,Caatinga,2024,1,1,Verão
ALAGOAS,TRAIPU,Caatinga,2024,1,1,Verão
ALAGOAS,ATALAIA,Mata Atlântica,2024,1,1,Verão
PIAUÍ,SANTA FILOMENA,Cerrado,2024,1,1,Verão
ALAGOAS,MARAGOGI,Mata Atlântica,2024,1,1,Verão
PERNAMBUCO,CAETÉS,Mata Atlântica,2024,1,1,Verão
PERNAMBUCO,CABO DE SANTO AGOSTINHO,Mata Atlântica,2024,1,1,Verão
BAHIA,ITIÚBA,Caatinga,2024,1,1,Verão
BAHIA,MONTE SANTO,Caatinga,2024,1,1,Verão
SERGIPE,ITABI,Mata Atlântica,2024,1,1,Verão
MARANHÃO,GRAJAÚ,Cerrado,2024,1,1,Verão
PARÁ,CANAÃ DOS CARAJÁS,Amazônia,2024,1,1,Verão
MARANHÃO,MIRADOR,Cerrado,2024,1,1,Verão
PIAUÍ,SANTA ROSA DO PIAUÍ,Caatinga,2024,1,1,Verão
MARANHÃO,FORTUNA,Cerrado,2024,1,1,Verão
MARANHÃO,ALTO ALEGRE DO PINDARÉ,Amazônia,2024,1,1,Verão
MARANHÃO,ARAME,Amazônia,2024,1,1,Verão
MARANHÃO,ITAIPAVA DO GRAJAÚ,Cerrado,2024,1,1,Verão
MARANHÃO,FERNANDO FALCÃO,Cerrado,2024,1,1,Verão
MARANHÃO,TURIAÇU,Amazônia,2024,1,1,Verão
PARÁ,SANTA LUZIA DO PARÁ,Amazônia,2024,1,1,Verão
PARÁ,ALENQUER,Amazônia,2024,1,1,Verão
MARANHÃO,PEDRO DO ROSÁRIO,Amazônia,2024,1,1,Verão
MARANHÃO,BEQUIMÃO,Amazônia,2024,1,1,Verão
MARANHÃO,CÂNDIDO MENDES,Amazônia,2024,1,1,Verão
PARÁ,ORIXIMINÁ,Amazônia,2024,1,1,Verão
ALAGOAS,DELMIRO GOUVEIA,Caatinga,2024,1,1,Verão
PIAUÍ,OEIRAS,Caatinga,2024,1,1,Verão
PERNAMBUCO,JABOATÃO DOS GUARARAPES,Mata Atlântica,2024,1,1,Verão
BAHIA,CAMPO ALEGRE DE LOURDES,Caatinga,2024,1,1,Verão
MARANHÃO,TIMON,Cerrado,2024,1,1,Verão
MARANHÃO,PARNARAMA,Caatinga,2024,1,1,Verão
RIO GRANDE DO SUL,NOVA SANTA RITA,Pampa,2024,1,1,Verão
RIO GRANDE DO SUL,ESTEIO,Pampa,2024,1,1,Verão
RIO GRANDE DO SUL,MORRO REUTER,Mata Atlântica,2024,1,1,Verão
PARANÁ,TIBAGI,Cerrado,2024,1,1,Verão
PARANÁ,MARINGÁ,Mata Atlântica,2024,1,1,Verão
PARANÁ,TELÊMACO BORBA,Mata Atlântica,2024,1,1,Verão
PARANÁ,QUEDAS DO IGUAÇU,Mata Atlântica,2024,1,1,Verão
PARANÁ,UMUARAMA,Mata Atlântica,2024,1,1,Verão
PARANÁ,PARANAVAÍ,Mata Atlântica,2024,1,1,Verão
PARANÁ,CRUZEIRO DO SUL,Mata Atlântica,2024,1,1,Verão
PIAUÍ,ITAUEIRA,Caatinga,2024,1,1,Verão
PIAUÍ,ELISEU MARTINS,Cerrado,2024,1,1,Verão
BAHIA,FORMOSA DO RIO PRETO,Cerrado,2024,1,1,Verão
BAHIA,RIACHO DE SANTANA,Caatinga,2024,1,1,Verão
PERNAMBUCO,MANARI,Caatinga,2024,1,1,Verão
BAHIA,CARAVELAS,Mata Atlântica,2024,1,1,Verão
SÃO PAULO,ZACARIAS,Mata Atlântica,2024,1,1,Verão
SÃO PAULO,NOVA CASTILHO,Mata Atlântica,2024,1,1,Verão
BAHIA,MILAGRES,Mata Atlântica,2024,1,1,Verão
BAHIA,ARATACA,Mata Atlântica,2024,1,1,Verão
BAHIA,ARACATU,Caatinga,2024,1,1,Verão
MATO GROSSO DO SUL,BRASILÂNDIA,Cerrado,2024,1,1,Verão
MATO GROSSO,SANTA TEREZINHA,Cerrado,2024,1,1,Verão
PIAUÍ,CONCEIÇÃO DO CANINDÉ,Caatinga,2024,1,1,Verão
MARANHÃO,BOM JARDIM,Amazônia,2024,1,1,Verão
PARÁ,AVEIRO,Amazônia,2024,1,1,Verão
PARÁ,VISEU,Amazônia,2024,1,1,Verão
AMAZONAS,AUTAZES,Amazônia,2024,1,1,Verão
MARANHÃO,SÍTIO NOVO,Cerrado,2024,1,1,Verão
MARANHÃO,SANTA LUZIA,Amazônia,2024,1,1,Verão
MARANHÃO,LAGO DA PEDRA,Cerrado,2024,1,1,Verão
BAHIA,VÁRZEA DA ROÇA,Caatinga,2024,1,1,Verão
BAHIA,ANTAS,Caatinga,2024,1,1,Verão
PARÁ,CURUÁ,Amazônia,2024,1,1,Verão
BAHIA,OLIVEIRA DOS BREJINHOS,Caatinga,2024,1,1,Verão
SERGIPE,SANTA LUZIA DO ITANHY,Mata Atlântica,2024,1,1,Verão
BAHIA,IBOTIRAMA,Caatinga,2024,1,1,Verão
MARANHÃO,SÃO JOÃO BATISTA,Amazônia,2024,1,1,Verão
PARÁ,PLACAS,Amazônia,2024,1,1,Verão
PARÁ,MONTE ALEGRE,Amazônia,2024,1,1,Verão
PARÁ,ANAPU,Amazônia,2024,1,1,Verão
PARÁ,BRASIL NOVO,Amazônia,2024,1,1,Verão
PARÁ,MEDICILÂNDIA,Amazônia,2024,1,1,Verão
PARÁ,MOJUÍ DOS CAMPOS,Amazônia,2024,1,1,Verão
PARÁ,NOVO REPARTIMENTO,Amazônia,2024,1,1,Verão
PARÁ,ITUPIRANGA,Amazônia,2024,1,1,Verão
PARÁ,PIÇARRA,Amazônia,2024,1,1,Verão
RORAIMA,NORMANDIA,Amazônia,2024,1,1,Verão
RORAIMA,CAROEBE,Amazônia,2024,1,1,Verão
SÃO PAULO,CAMPO LIMPO PAULISTA,Mata Atlântica,2024,1,1,Verão
SÃO PAULO,JUNDIAÍ,Mata Atlântica,2024,1,1,Verão
SÃO PAULO,PORTO FELIZ,Mata Atlântica,2024,1,1,Verão
PARANÁ,PIRAÍ DO SUL,Cerrado,2024,1,1,Verão
PARANÁ,MEDIANEIRA,Mata Atlântica,2024,1,1,Verão
SÃO PAULO,CAIEIRAS,Mata Atlântica,2024,1,1,Verão
SÃO PAULO,TATUÍ,Mata Atlântica,2024,1,1,Verão
MATO GROSSO DO SUL,ANGÉLICA,Mata Atlântica,2024,1,1,Verão
MATO GROSSO DO SUL,IVINHEMA,Mata Atlântica,2024,1,1,Verão
MATO GROSSO DO SUL,PONTA PORÃ,Mata Atlântica,2024,1,1,Verão
MATO GROSSO DO SUL,ARAL MOREIRA,Mata Atlântica,2024,1,1,Verão
MATO GROSSO DO SUL,DOURADOS,Cerrado,2024,1,1,Verão
SÃO PAULO,SUMARÉ,Mata Atlântica,2024,1,1,Verão
SÃO PAULO,PIRAJU,Mata Atlântica,2024,1,1,Verão
MATO GROSSO,CÁCERES,Pantanal,2024,1,1,Verão
BAHIA,SERRA DO RAMALHO,Cerrado,2024,1,1,Verão
MATO GROSSO,BRASNORTE,Amazônia,2024,1,1,Verão
MATO GROSSO,NOVA MUTUM,Amazônia,2024,1,1,Verão
MATO GROSSO,TABAPORÃ,Amazônia,2024,1,1,Verão
MATO GROSSO,VERA,Amazônia,2024,1,1,Verão
PIAUÍ,SÃO RAIMUNDO NONATO,Caatinga,2024,1,1,Verão
PARÁ,ALTAMIRA,Amazônia,2024,1,1,Verão
PARÁ,ULIANÓPOLIS,Amazônia,2024,1,1,Verão
MARANHÃO,JOÃO LISBOA,Amazônia,2024,1,1,Verão
MARANHÃO,BOM JESUS DAS SELVAS,Amazônia,2024,1,1,Verão
MARANHÃO,BURITICUPU,Amazônia,2024,1,1,Verão
PARÁ,MARABÁ,Amazônia,2024,1,1,Verão
TOCANTINS,XAMBIOÁ,Amazônia,2024,1,1,Verão
TOCANTINS,ESPERANTINA,Amazônia,2024,1,1,Verão
PARÁ,FLORESTA DO ARAGUAIA,Amazônia,2024,1,1,Verão
AMAZONAS,CAREIRO DA VÁRZEA,Amazônia,2024,1,1,Verão
MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,2024,1,1,Verão
MARANHÃO,SÃO JOÃO DOS PATOS,Cerrado,2024,1,1,Verão
RORAIMA,CANTÁ,Amazônia,2024,1,1,Verão
RORAIMA,SÃO JOÃO DA BALIZA,Amazônia,2024,1,1,Verão
RORAIMA,IRACEMA,Amazônia,2024,1,1,Verão
PARANÁ,GUARAPUAVA,Mata Atlântica,2024,1,1,Verão
PARANÁ,INÁCIO MARTINS,Mata Atlântica,2024,1,1,Verão
PARANÁ,PRUDENTÓPOLIS,Mata Atlântica,2024,1,1,Verão
RIO GRANDE DO SUL,DILERMANDO DE AGUIAR,Pampa,2024,1,1,Verão
PARANÁ,PIRAQUARA,Mata Atlântica,2024,1,1,Verão
SANTA CATARINA,SÃO JOSÉ DO CERRITO,Mata Atlântica,2024,1,1,Verão
SÃO PAULO,TEODORO SAMPAIO,Mata Atlântica,2024,1,1,Verão
MATO GROSSO DO SUL,NOVA ALVORADA DO SUL,Cerrado,2024,1,1,Verão
AMAZONAS,SÃO GABRIEL DA CACHOEIRA,Amazônia,2024,1,1,Verão
AMAZONAS,MANAQUIRI,Amazônia,2024,1,1,Verão
AMAZONAS,IRANDUBA,Amazônia,2024,1,1,Verão
RORAIMA,UIRAMUTÃ,Amazônia,2024,1,1,Verão
MATO GROSSO DO SUL,MIRANDA,Pantanal,2024,1,1,Verão
RORAIMA,SÃO LUIZ,Amazônia,2024,1,1,Verão
MATO GROSSO,COMODORO,Amazônia,2024,1,1,Verão
AMAZONAS,JUTAÍ,Amazônia,2024,1,1,Verão
ALAGOAS,PENEDO,Caatinga,2024,1,1,Verão
ALAGOAS,CORURIPE,Mata Atlântica,2024,1,1,Verão
ALAGOAS,PILAR,Mata Atlântica,2024,1,1,Verão
PARÁ,ALMEIRIM,Amazônia,2024,1,1,Verão
ALAGOAS,MURICI,Mata Atlântica,2024,1,1,Verão
ALAGOAS,CAMPO ALEGRE,Mata Atlântica,2024,1,1,Verão
SERGIPE,JAPOATÃ,Mata Atlântica,2024,1,1,Verão
MARANHÃO,SÃO JOÃO DO PARAÍSO,Cerrado,2024,1,1,Verão
MARANHÃO,SÃO JOÃO DO PARAÍSO,Cerrado,2024,1,2,Verão
ALAGOAS,MACEIÓ,Mata Atlântica,2024,1,2,Verão
ALAGOAS,SÃO LUÍS DO QUITUNDE,Mata Atlântica,2024,1,2,Verão
BAHIA,JEQUIÉ,Mata Atlântica,2024,1,2,Verão
SERGIPE,JAPOATÃ,Mata Atlântica,2024,1,2,Verão
SERGIPE,MURIBECA,Mata Atlântica,2024,1,2,Verão
PARÁ,MARABÁ,Amazônia,2024,1,2,Verão
PARÁ,MEDICILÂNDIA,Amazônia,2024,1,2,Verão
PARÁ,URUARÁ,Amazônia,2024,1,2,Verão
PARÁ,PRAINHA,Amazônia,2024,1,2,Verão
PARÁ,ALMEIRIM,Amazônia,2024,1,2,Verão
RORAIMA,PACARAIMA,Amazônia,2024,1,2,Verão
RORAIMA,RORAINÓPOLIS,Amazônia,2024,1,2,Verão
RORAIMA,CAROEBE,Amazônia,2024,1,2,Verão
RORAIMA,ALTO ALEGRE,Amazônia,2024,1,2,Verão
ALAGOAS,ROTEIRO,Mata Atlântica,2024,1,2,Verão
ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica,2024,1,2,Verão
ALAGOAS,MATRIZ DE CAMARAGIBE,Mata Atlântica,2024,1,2,Verão
BAHIA,UBAITABA,Mata Atlântica,2024,1,2,Verão
BAHIA,SANTA CRUZ CABRÁLIA,Mata Atlântica,2024,1,2,Verão
PARAÍBA,PITIMBU,Mata Atlântica,2024,1,2,Verão
CEARÁ,AURORA,Caatinga,2024,1,2,Verão
ALAGOAS,SÃO MIGUEL DOS CAMPOS,Mata Atlântica,2024,1,2,Verão
ALAGOAS,MURICI,Mata Atlântica,2024,1,2,Verão
BAHIA,SANTALUZ,Caatinga,2024,1,2,Verão
ALAGOAS,NOVO LINO,Mata Atlântica,2024,1,2,Verão
BAHIA,CATU,Mata Atlântica,2024,1,2,Verão
BAHIA,ILHÉUS,Mata Atlântica,2024,1,2,Verão
ALAGOAS,DELMIRO GOUVEIA,Caatinga,2024,1,2,Verão
SÃO PAULO,ORIENTE,Mata Atlântica,2024,1,2,Verão
SÃO PAULO,ITAPEVA,Cerrado,2024,1,2,Verão
SÃO PAULO,MACATUBA,Cerrado,2024,1,2,Verão
SÃO PAULO,ASSIS,Cerrado,2024,1,2,Verão
SÃO PAULO,VARGEM GRANDE DO SUL,Cerrado,2024,1,2,Verão
CEARÁ,SANTANA DO ACARAÚ,Caatinga,2024,1,2,Verão
PERNAMBUCO,BODOCÓ,Caatinga,2024,1,2,Verão
SÃO PAULO,SÃO CARLOS,Cerrado,2024,1,2,Verão
PARANÁ,TIBAGI,Cerrado,2024,1,2,Verão
PARÁ,MONTE ALEGRE,Amazônia,2024,1,2,Verão
PARÁ,ALENQUER,Amazônia,2024,1,2,Verão
PARÁ,PORTO DE MOZ,Amazônia,2024,1,2,Verão
AMAPÁ,LARANJAL DO JARI,Amazônia,2024,1,2,Verão
RORAIMA,AMAJARI,Amazônia,2024,1,2,Verão
RORAIMA,SÃO LUIZ,Amazônia,2024,1,2,Verão
PARÁ,NOVO REPARTIMENTO,Amazônia,2024,1,2,Verão
RORAIMA,CARACARAÍ,Amazônia,2024,1,2,Verão
PARÁ,SANTARÉM,Amazônia,2024,1,2,Verão
RORAIMA,BOA VISTA,Amazônia,2024,1,2,Verão
ALAGOAS,RIO LARGO,Mata Atlântica,2024,1,2,Verão
RIO GRANDE DO NORTE,PEDRO AVELINO,Caatinga,2024,1,2,Verão
CEARÁ,BEBERIBE,Caatinga,2024,1,2,Verão
PIAUÍ,JOSÉ DE FREITAS,Caatinga,2024,1,2,Verão
PIAUÍ,MORRO DO CHAPÉU DO PIAUÍ,Caatinga,2024,1,2,Verão
CEARÁ,ACOPIARA,Caatinga,2024,1,2,Verão
BAHIA,CORRENTINA,Cerrado,2024,1,2,Verão
BAHIA,MIGUEL CALMON,Caatinga,2024,1,2,Verão
BAHIA,JACOBINA,Caatinga,2024,1,2,Verão
BAHIA,BOA NOVA,Mata Atlântica,2024,1,2,Verão
BAHIA,ITAGIBÁ,Mata Atlântica,2024,1,2,Verão
BAHIA,NORDESTINA,Caatinga,2024,1,2,Verão
BAHIA,QUEIMADAS,Caatinga,2024,1,2,Verão
ALAGOAS,MINADOR DO NEGRÃO,Caatinga,2024,1,2,Verão
RORAIMA,CANTÁ,Amazônia,2024,1,2,Verão
RORAIMA,NORMANDIA,Amazônia,2024,1,2,Verão
AMAZONAS,TEFÉ,Amazônia,2024,1,2,Verão
AMAZONAS,FONTE BOA,Amazônia,2024,1,2,Verão
RORAIMA,BONFIM,Amazônia,2024,1,2,Verão
PERNAMBUCO,ITAÍBA,Caatinga,2024,1,2,Verão
ALAGOAS,CACIMBINHAS,Caatinga,2024,1,2,Verão
ALAGOAS,CRAÍBAS,Caatinga,2024,1,2,Verão
ALAGOAS,IGACI,Caatinga,2024,1,2,Verão
ALAGOAS,IGREJA NOVA,Mata Atlântica,2024,1,2,Verão
PERNAMBUCO,TIMBAÚBA,Mata Atlântica,2024,1,2,Verão
PERNAMBUCO,FERREIROS,Mata Atlântica,2024,1,2,Verão
PARAÍBA,CATOLÉ DO ROCHA,Caatinga,2024,1,2,Verão
ALAGOAS,PORTO CALVO,Mata Atlântica,2024,1,2,Verão
PERNAMBUCO,IATI,Caatinga,2024,1,2,Verão
ALAGOAS,JACARÉ DOS HOMENS,Caatinga,2024,1,2,Verão
ALAGOAS,ESTRELA DE ALAGOAS,Caatinga,2024,1,2,Verão
BAHIA,URUÇUCA,Mata Atlântica,2024,1,2,Verão
BAHIA,ITACARÉ,Mata Atlântica,2024,1,2,Verão
BAHIA,MARAÚ,Mata Atlântica,2024,1,2,Verão
BAHIA,JAGUAQUARA,Mata Atlântica,2024,1,2,Verão
BAHIA,WENCESLAU GUIMARÃES,Mata Atlântica,2024,1,2,Verão
BAHIA,VALENÇA,Mata Atlântica,2024,1,2,Verão
BAHIA,PLANALTINO,Caatinga,2024,1,2,Verão
BAHIA,JAGUARIPE,Mata Atlântica,2024,1,2,Verão
BAHIA,VARZEDO,Mata Atlântica,2024,1,2,Verão
BAHIA,SÃO FELIPE,Mata Atlântica,2024,1,2,Verão
BAHIA,ANDARAÍ,Caatinga,2024,1,2,Verão
BAHIA,IPECAETÁ,Caatinga,2024,1,2,Verão
BAHIA,UNA,Mata Atlântica,2024,1,2,Verão
BAHIA,ITAPETINGA,Mata Atlântica,2024,1,2,Verão
BAHIA,PORTO SEGURO,Mata Atlântica,2024,1,2,Verão
BAHIA,BELMONTE,Mata Atlântica,2024,1,2,Verão
BAHIA,CANAVIEIRAS,Mata Atlântica,2024,1,2,Verão
ALAGOAS,SÃO SEBASTIÃO,Mata Atlântica,2024,1,2,Verão
ALAGOAS,GIRAU DO PONCIANO,Caatinga,2024,1,2,Verão
SERGIPE,NOSSA SENHORA DE LOURDES,Mata Atlântica,2024,1,2,Verão
SERGIPE,NEÓPOLIS,Mata Atlântica,2024,1,2,Verão
ALAGOAS,PENEDO,Mata Atlântica,2024,1,2,Verão
ALAGOAS,FELIZ DESERTO,Mata Atlântica,2024,1,2,Verão
SERGIPE,PACATUBA,Mata Atlântica,2024,1,2,Verão
SERGIPE,SIRIRI,Mata Atlântica,2024,1,2,Verão
SERGIPE,JAPARATUBA,Mata Atlântica,2024,1,2,Verão
BAHIA,QUIJINGUE,Caatinga,2024,1,2,Verão
BAHIA,PINDOBAÇU,Caatinga,2024,1,2,Verão
BAHIA,MIRANGABA,Caatinga,2024,1,2,Verão
SERGIPE,LAGARTO,Caatinga,2024,1,2,Verão
BAHIA,APORÁ,Mata Atlântica,2024,1,2,Verão
ALAGOAS,JAPARATINGA,Mata Atlântica,2024,1,2,Verão
PERNAMBUCO,ÁGUAS BELAS,Caatinga,2024,1,2,Verão
ALAGOAS,MARAGOGI,Mata Atlântica,2024,1,2,Verão
PERNAMBUCO,BOM CONSELHO,Caatinga,2024,1,2,Verão
ALAGOAS,SANTANA DO IPANEMA,Caatinga,2024,1,2,Verão
PERNAMBUCO,LAGOA DO OURO,Mata Atlântica,2024,1,2,Verão
ALAGOAS,BRANQUINHA,Mata Atlântica,2024,1,2,Verão
PIAUÍ,SÃO FÉLIX DO PIAUÍ,Caatinga,2024,1,2,Verão
CEARÁ,MOMBAÇA,Caatinga,2024,1,2,Verão
CEARÁ,QUIXERAMOBIM,Caatinga,2024,1,2,Verão
CEARÁ,MILHÃ,Caatinga,2024,1,2,Verão
CEARÁ,TAUÁ,Caatinga,2024,1,2,Verão
CEARÁ,SENADOR POMPEU,Caatinga,2024,1,2,Verão
PERNAMBUCO,ALIANÇA,Mata Atlântica,2024,1,2,Verão
PERNAMBUCO,GOIANA,Mata Atlântica,2024,1,2,Verão
PARAÍBA,CAMALAÚ,Caatinga,2024,1,2,Verão
PERNAMBUCO,SALGUEIRO,Caatinga,2024,1,2,Verão
PERNAMBUCO,CABO DE SANTO AGOSTINHO,Mata Atlântica,2024,1,2,Verão
CEARÁ,ARNEIROZ,Caatinga,2024,1,2,Verão
PERNAMBUCO,BARREIROS,Mata Atlântica,2024,1,2,Verão
CEARÁ,ASSARÉ,Caatinga,2024,1,2,Verão
CEARÁ,CARIÚS,Caatinga,2024,1,2,Verão
CEARÁ,CAUCAIA,Caatinga,2024,1,2,Verão
CEARÁ,TEJUÇUOCA,Caatinga,2024,1,2,Verão
CEARÁ,PORANGA,Caatinga,2024,1,2,Verão
CEARÁ,CRATEÚS,Caatinga,2024,1,2,Verão
CEARÁ,CASCAVEL,Caatinga,2024,1,2,Verão
CEARÁ,PENTECOSTE,Caatinga,2024,1,2,Verão
CEARÁ,ARACOIABA,Caatinga,2024,1,2,Verão
PIAUÍ,CASTELO DO PIAUÍ,Caatinga,2024,1,2,Verão
MARANHÃO,AMAPÁ DO MARANHÃO,Amazônia,2024,1,2,Verão
AMAPÁ,TARTARUGALZINHO,Amazônia,2024,1,2,Verão
